,A_CH_rim,A_alpha_rim,Vol,E_rim,Action
0,114.61456624971322,15.869731587088154,0.22890751425217223,0.10495922843935336,initial state
1,208.10920442500014,24.63675423712175,0.5938513412014185,0.2958781638241162,F
2,201.677864756391,60.79385637349333,0.7016990458726984,0.29149033351415826,F
3,204.37543595619542,56.96712985582053,0.7636443826258388,0.3303809593691331,F
4,203.91058345666076,25.65892602973463,0.7071705356357872,0.31462498622032586,F
5,208.10190668868236,56.59844039399786,0.7631856519861857,0.334564021223843,F
6,205.49609830823147,26.649336331843188,0.7310001413013708,0.32380775596711875,F
7,208.09489139679744,26.242438882206898,0.6707148204690487,0.3355294296846735,F
8,219.80596586388415,54.99042856285996,0.893806334548628,0.3353929882094098,F
9,205.9522635028087,71.86320927417,0.7601051579413862,0.32086053064363795,F
10,210.23103165589436,24.452519182602828,0.642600521103378,0.340772629219719,F
