,A_CH_rim,A_alpha_rim,Vol,E_rim,Action
0,77.08493720997328,4.709482297187151,0.12381107669991233,0.10432459032769892,initial state
1,21.466928585596673,1.1489418125165685,0.33632100129781095,0.05413030529923186,F
2,19.957179067944285,19.957179067944253,0.25838388804382184,0.05715070032225598,F
3,20.215079544527924,20.215079544527725,0.27253161591505964,0.057988788894603495,F
4,20.119279805044012,20.119279805044243,0.24990278570029956,0.05758871613316662,F
5,19.72180630531225,19.72180630531284,0.2529921246676419,0.05649115835410718,F
6,20.16710310641652,20.167103106416562,0.24805540935038914,0.056471454656525,F
7,19.991731531093006,19.991731531092682,0.24857831753200482,0.05786614817204927,F
8,20.36925128237493,20.36925128237499,0.24880146115310664,0.05772657508566526,F
9,19.996830662023804,19.996830662023513,0.24629296350458768,0.05807215295307622,F
10,20.18362544475818,20.18362544475849,0.27259749726974203,0.058566596417403936,F
